['problem11', 69.0, 69.9, 1.1972189997378646, 72.0, 6]
['problem12', 64.0, 65.8, 1.1352924243950933, 67.0, 1]
['problem13', 61.0, 62.4, 1.07496769977314, 64.0, 2]
['problem14', 55.0, 56.1, 1.449137674618944, 59.0, 5]

['problem21', 54.0, 55.1, 0.9944289260117531, 57.0, 3]
['problem22', 48.0, 50.6, 1.7126976771553506, 54.0, 1]
['problem23', 43.0, 44.7, 0.9486832980505137, 46.0, 1]
['problem24', 42.0, 43.2, 0.6324555320336758, 44.0, 1]

['problem31', 43.0, 43.8, 0.6324555320336758, 45.0, 3]
['problem32', 39.0, 40.8, 1.0327955589886444, 43.0, 1]
['problem33', 36.0, 36.7, 0.8232726023485646, 38.0, 5]
['problem34', 34.0, 34.7, 0.6749485577105528, 36.0, 4]
['problem35', 31.0, 32.2, 0.6324555320336759, 33.0, 1]

['problem41', 47.0, 47.1, 0.31622776601683783, 48.0, 9]
['problem42', 40.0, 41.4, 0.6992058987801011, 42.0, 1]
['problem43', 37.0, 37.9, 0.5676462121975466, 39.0, 2]
['problem44', 33.0, 34.1, 0.7378647873726218, 35.0, 2]

['problem51', 35.0, 36.4, 0.8432740427115678, 38.0, 1]
['problem52', 30.0, 31.6, 0.8432740427115678, 33.0, 1]
['problem53', 23.0, 23.9, 0.5676462121975466, 25.0, 2]
['problem54', 23.0, 23.9, 0.31622776601683783, 24.0, 1]
['problem55', 20.0, 21.1, 0.5676462121975466, 22.0, 1]
['problem56', 17.0, 17.7, 0.48304589153964794, 18.0, 3]
['problem57', 17.0, 17.0, 0.0, 17.0, 10]

['problem61', 32.0, 32.0, 0.0, 32.0, 10]
['problem62', 26.0, 26.6, 0.6992058987801011, 28.0, 5]
['problem63', 22.0, 23.2, 0.6324555320336759, 24.0, 1]
['problem64', 18.0, 19.1, 0.7378647873726217, 20.0, 2]
['problem65', 16.0, 16.9, 0.7378647873726218, 18.0, 3]
['problem66', 14.0, 14.1, 0.3162277660168379, 15.0, 9]

['problem71', 18.0, 18.2, 0.4216370213557839, 19.0, 8]
['problem72', 15.0, 15.0, 0.0, 15.0, 10]
['problem73', 13.0, 13.3, 0.483045891539648, 14, 7]
['problem74', 11.0, 11.0, 0.0, 11.0, 10]
['problem75', 9.0, 9.1, 0.3162277660168379, 10, 9]

['problem81', 15, 15.0, 0.0, 15, 10]
['problem82', 12.0, 12.9, 0.31622776601683794, 13, 1]
['problem83', 9.0, 9.2, 0.42163702135578396, 10.0, 8]
['problem84', 8, 8.0, 0.0, 8, 10]
['problem85', 7.0, 7.5, 0.5270462766947299, 8.0, 5]
['problem86', 6, 6.0, 0.0, 6, 10]
['problem87', 5.0, 5.4, 0.5163977794943223, 6.0, 6]
