[(15.0, 9), (15.0, 3), (15.0, 4), (15.0, 8), (15.0, 4), (15.0, 102), (15.0, 5), (15.0, 6), (15.0, 7), (15.0, 6), 'problem72']

[(14, 1), (14, 1), (14, 1), (13.0, 2), (13.0, 82), (13.0, 56), (13.0, 6), (13.0, 131), (13.0, 38), (13.0, 163), 'problem73']

[(11.0, 2), (11.0, 3), (11.0, 2), (11.0, 9), (11.0, 5), (11.0, 3), (11.0, 3), (11.0, 15), (11.0, 2), (11.0, 3), 'problem74']

[(9.0, 10), (9.0, 26), (9.0, 8), (10, 1), (9.0, 144), (9.0, 21), (9.0, 21), (9.0, 6), (9.0, 12), (9.0, 24), 'problem75']

[(15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), (15, 1), 'problem81']

[(13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (13, 1), (12.0, 46), 'problem82']

[(9.0, 4), (9.0, 2), (9.0, 3), (10.0, 1), (9.0, 4), (9.0, 3), (10.0, 4), (9.0, 3), (9.0, 16), (9.0, 6), 'problem83']

[(8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), (8, 1), 'problem84']

[(8.0, 1), (8.0, 1), (8.0, 1), (8.0, 1), (7.0, 188), (8.0, 1), (7.0, 177), (7.0, 90), (7.0, 45), (7.0, 31), 'problem85']

[(6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6, 1), (6.0, 3), 'problem86']

[(6.0, 12), (5.0, 18), (6.0, 3), (6.0, 5), (5.0, 95), (5.0, 15), (5.0, 56), (5.0, 46), (5.0, 4), (6.0, 3), 'problem87']

